ID,Vote09,Vote10
1557,棄権,棄権
1558,その他,棄権
1559,棄権,棄権
1560,民主,民主
1561,自民,棄権
1562,公明,公明
1563,自民,民主
1564,その他,民主
1565,棄権,民主
1566,民主,民主
1567,民主,共産・社民
1568,自民,自民
1569,自民,DK
1570,公明,自民
1571,民主,民主
1572,民主,民主
1573,民主,DK
1574,民主,民主
1575,民主,民主
1576,民主,民主
1577,棄権,棄権
1578,自民,自民
1579,DK,DK
1580,自民,自民
1581,棄権,棄権
1582,DK,DK
1583,その他,民主
1584,自民,自民
1585,DK,民主
1586,自民,自民
1587,公明,公明
1588,民主,その他
1589,自民,自民
1590,DK,DK
1591,棄権,DK
1592,その他,民主
1593,公明,民主
1594,自民,民主
1595,民主,民主
1596,公明,公明
1597,民主,民主
1598,棄権,棄権
1599,民主,自民
1600,棄権,自民
1601,棄権,民主
1602,棄権,棄権
1603,その他,DK
1604,その他,民主
1605,その他,その他
1606,その他,民主
1607,民主,共産・社民
1608,棄権,棄権
1609,自民,自民
1610,自民,自民
1611,民主,民主
1612,自民,自民
1613,棄権,棄権
1614,自民,その他
1615,棄権,棄権
1616,民主,民主
1617,自民,棄権
1618,民主,民主
1619,棄権,棄権
1620,その他,自民
1621,民主,民主
1622,その他,その他
1623,民主,民主
1624,自民,自民
1625,その他,棄権
1626,その他,自民
1627,棄権,棄権
1628,自民,自民
1629,民主,民主
1630,DK,DK
1631,民主,民主
1632,DK,DK
1633,共産・社民,民主
1634,自民,民主
1635,自民,棄権
1636,自民,自民
1637,その他,自民
1638,自民,民主
1639,棄権,棄権
1640,自民,民主
1641,自民,自民
1642,民主,共産・社民
1643,自民,自民
1644,民主,民主
1645,棄権,棄権
1646,民主,民主
1647,自民,民主
1648,自民,自民
1649,共産・社民,共産・社民
1650,その他,自民
1651,棄権,DK
1652,自民,自民
1653,民主,民主
1654,民主,民主
1655,民主,民主
1656,民主,民主
1657,共産・社民,共産・社民
1658,民主,民主
1659,自民,自民
1660,棄権,棄権
1661,民主,民主
1662,自民,自民
1663,その他,その他
1664,棄権,棄権
1665,民主,民主
1666,棄権,棄権
1667,DK,DK
1668,民主,DK
1669,民主,民主
1670,民主,民主
1671,棄権,民主
1672,その他,公明
1673,自民,自民
1674,その他,自民
1675,DK,自民
1676,民主,民主
1677,自民,自民
1678,その他,民主
1679,棄権,棄権
1680,その他,民主
1681,DK,民主
1682,民主,民主
1683,民主,民主
1684,DK,DK
1685,自民,自民
1686,民主,民主
1687,民主,DK
1688,自民,自民
1689,民主,民主
1690,民主,民主
1691,DK,DK
1692,その他,民主
1693,共産・社民,民主
1694,その他,共産・社民
1695,自民,自民
1696,民主,民主
1697,民主,民主
1698,DK,民主
1699,公明,公明
1700,民主,民主
1701,棄権,棄権
1702,DK,DK
1703,民主,民主
1704,自民,自民
1705,棄権,棄権
1706,民主,民主
1707,自民,自民
1708,民主,民主
1709,棄権,棄権
1710,民主,民主
1711,民主,民主
1712,民主,民主
1713,民主,自民
1714,自民,自民
1715,自民,自民
1716,民主,民主
1717,その他,その他
1718,自民,自民
1719,民主,民主
1720,棄権,棄権
1721,その他,その他
1722,その他,その他
1723,民主,民主
1724,自民,DK
1725,自民,民主
1726,棄権,棄権
1727,民主,民主
1728,自民,自民
1729,民主,民主
1730,DK,民主
1731,民主,民主
1732,棄権,棄権
1733,棄権,棄権
1734,その他,その他
1735,棄権,棄権
1736,民主,民主
1737,DK,民主
1738,棄権,民主
1739,公明,民主
1740,DK,民主
1741,民主,民主
1742,棄権,民主
1743,棄権,民主
1744,棄権,民主
1745,棄権,棄権
1746,民主,自民
1747,棄権,棄権
1748,DK,棄権
1749,DK,自民
1750,民主,民主
1751,自民,民主
1752,民主,自民
1753,棄権,棄権
1754,その他,その他
1755,公明,棄権
1756,棄権,棄権
1757,民主,民主
1758,棄権,棄権
1759,民主,民主
1760,棄権,棄権
1761,公明,公明
1762,棄権,民主
1763,民主,民主
1764,棄権,棄権
1765,民主,共産・社民
1766,自民,自民
1767,民主,民主
1768,棄権,棄権
1769,自民,自民
1770,棄権,棄権
1771,民主,その他
1772,棄権,棄権
1773,民主,民主
1774,自民,自民
1775,棄権,その他
1776,棄権,棄権
1777,棄権,棄権
1778,民主,民主
1779,自民,自民
1780,民主,民主
1781,民主,民主
1782,民主,民主
1783,民主,民主
1784,民主,民主
1785,棄権,民主
1786,民主,民主
1787,棄権,民主
1788,民主,民主
1789,自民,自民
1790,民主,民主
1791,民主,民主
1792,民主,棄権
1793,棄権,自民
1794,公明,公明
1795,民主,DK
1796,棄権,民主
1797,DK,民主
1798,自民,共産・社民
1799,その他,共産・社民
1800,民主,民主
1801,民主,民主
1802,民主,民主
1803,自民,自民
1804,DK,民主
1805,自民,自民
1806,自民,民主
1807,共産・社民,共産・社民
1808,DK,DK
1809,民主,民主
1810,その他,民主
1811,自民,自民
1812,民主,民主
1813,DK,棄権
1814,民主,自民
1815,棄権,棄権
1816,DK,民主
1817,民主,民主
1818,民主,民主
1819,民主,民主
1820,民主,民主
1821,棄権,棄権
1822,民主,民主
1823,民主,DK
1824,民主,民主
1825,DK,棄権
1826,その他,棄権
1827,共産・社民,共産・社民
1828,棄権,棄権
1829,自民,自民
1830,民主,民主
1831,民主,民主
1832,民主,民主
1833,棄権,棄権
1834,自民,自民
1835,その他,自民
1836,DK,棄権
1837,民主,民主
1838,棄権,その他
1839,民主,民主
1840,DK,民主
1841,民主,民主
1842,自民,自民
1843,自民,自民
1844,DK,DK
1845,共産・社民,民主
1846,民主,民主
1847,その他,共産・社民
1848,DK,民主
1849,自民,棄権
1850,DK,民主
1851,その他,民主
1852,棄権,棄権
1853,棄権,民主
1854,民主,民主
1855,公明,棄権
1856,自民,自民
1857,民主,民主
1858,民主,民主
1859,その他,民主
1860,民主,民主
1861,棄権,民主
1862,棄権,棄権
1863,自民,自民
1864,棄権,棄権
1865,DK,DK
1866,民主,民主
1867,自民,棄権
1868,棄権,共産・社民
1869,自民,自民
1870,共産・社民,共産・社民
1871,自民,自民
1872,棄権,民主
1873,民主,民主
1874,公明,民主
1875,自民,自民
1876,DK,民主
1877,自民,自民
1878,棄権,棄権
1879,その他,民主
1880,棄権,自民
1881,自民,自民
1882,民主,民主
1883,公明,公明
1884,民主,民主
1885,自民,民主
1886,自民,棄権
1887,自民,自民
1888,DK,棄権
1889,DK,民主
1890,その他,民主
1891,棄権,民主
1892,その他,民主
1893,DK,民主
1894,民主,民主
1895,民主,民主
1896,DK,DK
1897,DK,共産・社民
1898,民主,民主
1899,自民,共産・社民
1900,DK,棄権
1901,棄権,DK
1902,DK,棄権
1903,民主,民主
1904,棄権,民主
1905,自民,自民
1906,その他,民主
1907,民主,民主
1908,DK,棄権
1909,DK,DK
1910,民主,民主
1911,その他,民主
1912,DK,棄権
1913,自民,自民
1914,民主,民主
1915,民主,民主
1916,棄権,棄権
1917,民主,民主
1918,棄権,棄権
1919,民主,自民
1920,民主,共産・社民
1921,棄権,棄権
1922,民主,民主
1923,民主,民主
1924,棄権,棄権
1925,民主,民主
1926,DK,民主
1927,DK,民主
1928,民主,民主
1929,民主,民主
1930,DK,DK
1931,自民,自民
1932,DK,棄権
1933,民主,民主
1934,共産・社民,民主
1935,公明,公明
1936,民主,民主
1937,その他,民主
1938,棄権,棄権
1939,公明,公明
1940,民主,民主
1941,自民,共産・社民
1942,棄権,棄権
1943,棄権,民主
1944,棄権,棄権
1945,DK,DK
1946,その他,民主
1947,民主,民主
1948,棄権,棄権
1949,民主,民主
1950,自民,自民
1951,棄権,民主
1952,自民,DK
1953,その他,DK
1954,民主,民主
1955,民主,民主
1956,棄権,自民
1957,DK,DK
1958,棄権,棄権
1959,その他,民主
1960,民主,民主
1961,棄権,自民
1962,その他,自民
1963,共産・社民,共産・社民
1964,民主,民主
1965,棄権,棄権
1966,棄権,棄権
1967,民主,民主
1968,DK,民主
1969,共産・社民,民主
1970,棄権,棄権
1971,自民,自民
1972,共産・社民,共産・社民
1973,公明,DK
1974,公明,公明
1975,民主,民主
1976,その他,その他
1977,民主,民主
1978,棄権,自民
1979,自民,自民
1980,その他,DK
1981,自民,自民
1982,自民,自民
1983,DK,自民
1984,自民,自民
1985,その他,その他
1986,民主,共産・社民
1987,DK,DK
1988,民主,民主
1989,棄権,自民
1990,民主,民主
1991,その他,その他
1992,棄権,DK
1993,自民,自民
1994,棄権,民主
1995,民主,民主
1996,自民,DK
1997,棄権,棄権
1998,その他,自民
1999,その他,自民
2000,民主,民主
2001,棄権,棄権
2002,民主,民主
2003,棄権,棄権
2004,棄権,棄権
2005,その他,DK
2006,民主,民主
2007,公明,その他
2008,民主,民主
2009,DK,共産・社民
2010,DK,棄権
2011,DK,自民
2012,共産・社民,共産・社民
2013,民主,民主
2014,自民,自民
2015,民主,民主
2016,棄権,民主
2017,民主,自民
2018,棄権,棄権
2019,DK,民主
2020,民主,民主
2021,自民,自民
2022,民主,民主
2023,棄権,棄権
2024,自民,自民
2025,棄権,民主
2026,自民,自民
2027,民主,民主
2028,DK,民主
2029,自民,自民
2030,共産・社民,共産・社民
2031,棄権,棄権
2032,自民,その他
2033,自民,共産・社民
2034,棄権,棄権
2035,自民,自民
2036,棄権,その他
2037,棄権,棄権
2038,民主,棄権
2039,棄権,棄権
2040,棄権,民主
2041,自民,民主
2042,自民,棄権
2043,棄権,DK
2044,その他,その他
2045,自民,自民
2046,自民,民主
2047,その他,民主
2048,自民,自民
2049,民主,民主
2050,公明,自民
2051,棄権,棄権
2052,共産・社民,共産・社民
2053,民主,民主
2054,棄権,棄権
2055,民主,民主
2056,民主,民主
2057,公明,公明
2058,その他,その他
2059,DK,棄権
2060,民主,民主
2061,自民,自民
2062,棄権,棄権
2063,自民,自民
2064,棄権,棄権
2065,民主,民主
2066,共産・社民,民主
2067,自民,自民
2068,民主,民主
2069,民主,棄権
2070,DK,民主
2071,民主,民主
2072,自民,自民
2073,棄権,棄権
2074,DK,DK
2075,DK,民主
2076,棄権,公明
2077,自民,自民
2078,自民,自民
2079,自民,棄権
2080,自民,自民
2081,棄権,棄権
2082,民主,民主
2083,共産・社民,共産・社民
2084,棄権,棄権
2085,自民,自民
2086,自民,自民
2087,自民,民主
2088,民主,民主
2089,棄権,棄権
2090,棄権,棄権
2091,自民,自民
2092,棄権,棄権
2093,自民,自民
2094,棄権,民主
2095,DK,民主
2096,その他,DK
2097,棄権,DK
2098,棄権,DK
2099,民主,民主
2100,棄権,棄権
2101,その他,自民
2102,その他,その他
2103,民主,民主
2104,DK,民主
2105,民主,民主
2106,棄権,民主
2107,民主,民主
2108,棄権,DK
2109,棄権,DK
2110,民主,民主
2111,その他,自民
2112,DK,民主
2113,その他,DK
2114,その他,公明
2115,DK,棄権
2116,民主,民主
2117,自民,自民
2118,民主,民主
2119,棄権,棄権
2120,民主,棄権
2121,民主,民主
2122,自民,民主
2123,民主,民主
2124,棄権,民主
2125,その他,棄権
2126,公明,公明
2127,棄権,DK
2128,民主,民主
2129,民主,民主
2130,棄権,棄権
2131,DK,民主
2132,DK,棄権
2133,民主,民主
2134,その他,その他
2135,棄権,民主
2136,自民,自民
2137,棄権,棄権
2138,自民,自民
2139,民主,民主
2140,DK,民主
2141,民主,民主
2142,DK,共産・社民
2143,棄権,DK
2144,自民,自民
2145,その他,自民
2146,自民,自民
2147,棄権,棄権
2148,自民,民主
2149,棄権,棄権
2150,民主,民主
2151,棄権,民主
2152,棄権,棄権
2153,公明,公明
2154,棄権,棄権
2155,DK,DK
2156,棄権,民主
2157,棄権,棄権
2158,共産・社民,共産・社民
2159,棄権,棄権
2160,DK,その他
2161,民主,民主
2162,DK,民主
2163,自民,自民
2164,DK,自民
2165,民主,民主
2166,民主,民主
2167,棄権,棄権
2168,民主,民主
2169,共産・社民,共産・社民
2170,DK,自民
2171,自民,自民
2172,自民,自民
2173,民主,民主
2174,共産・社民,民主
2175,民主,民主
2176,民主,民主
2177,共産・社民,共産・社民
2178,棄権,棄権
2179,自民,棄権
2180,棄権,棄権
2181,民主,民主
2182,自民,民主
2183,その他,民主
2184,棄権,民主
2185,DK,民主
2186,自民,民主
2187,棄権,DK
2188,自民,自民
2189,公明,公明
2190,民主,民主
2191,自民,自民
2192,公明,公明
2193,共産・社民,共産・社民
2194,その他,民主
2195,自民,自民
2196,棄権,棄権
2197,棄権,棄権
2198,民主,民主
2199,その他,共産・社民
2200,棄権,民主
2201,DK,DK
2202,棄権,棄権
2203,民主,民主
2204,棄権,棄権
2205,自民,自民
2206,公明,民主
2207,公明,自民
2208,その他,民主
2209,民主,民主
2210,自民,自民
2211,民主,民主
2212,公明,公明
2213,自民,自民
2214,民主,民主
2215,自民,自民
2216,民主,民主
2217,民主,民主
2218,民主,民主
2219,棄権,棄権
2220,自民,民主
2221,その他,その他
2222,自民,民主
2223,自民,自民
2224,公明,自民
2225,DK,共産・社民
2226,その他,その他
2227,自民,民主
2228,その他,その他
2229,民主,共産・社民
2230,その他,自民
2231,棄権,棄権
2232,その他,その他
2233,棄権,棄権
2234,民主,民主
2235,自民,民主
2236,自民,自民
2237,自民,自民
2238,民主,棄権
2239,民主,民主
2240,DK,民主
2241,その他,その他
2242,自民,DK
2243,共産・社民,共産・社民
2244,自民,DK
2245,DK,DK
2246,棄権,DK
2247,自民,自民
2248,棄権,棄権
2249,棄権,棄権
2250,民主,民主
2251,DK,DK
2252,民主,棄権
2253,民主,民主
2254,DK,民主
2255,その他,その他
2256,DK,DK
2257,公明,公明
2258,公明,公明
2259,その他,棄権
2260,民主,民主
2261,民主,民主
2262,民主,民主
2263,自民,自民
2264,自民,自民
2265,棄権,棄権
2266,民主,民主
2267,棄権,民主
2268,自民,自民
2269,DK,自民
2270,民主,民主
2271,民主,民主
2272,公明,公明
2273,自民,自民
2274,自民,民主
2275,その他,民主
2276,民主,民主
2277,DK,自民
2278,自民,民主
2279,民主,民主
2280,民主,民主
2281,民主,民主
2282,民主,自民
2283,棄権,棄権
2284,民主,民主
2285,DK,自民
2286,民主,共産・社民
2287,DK,自民
2288,共産・社民,共産・社民
2289,民主,民主
2290,自民,自民
2291,棄権,棄権
2292,DK,DK
2293,民主,民主
2294,民主,民主
2295,棄権,棄権
2296,民主,民主
2297,民主,民主
2298,民主,民主
2299,自民,民主
2300,棄権,棄権
2301,自民,自民
2302,自民,自民
2303,自民,棄権
2304,民主,民主
2305,民主,民主
2306,民主,民主
2307,その他,その他
2308,民主,民主
2309,民主,民主
2310,民主,民主
2311,共産・社民,共産・社民
2312,棄権,棄権
2313,棄権,棄権
2314,棄権,民主
2315,その他,その他
2316,民主,民主
2317,共産・社民,共産・社民
2318,棄権,民主
2319,公明,棄権
2320,公明,自民
2321,棄権,棄権
2322,民主,民主
2323,自民,自民
2324,民主,民主
2325,その他,棄権
2326,民主,棄権
2327,棄権,棄権
2328,自民,自民
2329,棄権,棄権
2330,棄権,棄権
2331,棄権,棄権
2332,民主,民主
2333,棄権,棄権
2334,民主,民主
2335,民主,民主
2336,その他,民主
2337,DK,民主
2338,棄権,民主
2339,共産・社民,民主
2340,民主,民主
2341,自民,自民
2342,民主,民主
2343,公明,公明
2344,民主,民主
2345,DK,民主
2346,その他,民主
2347,自民,自民
2348,民主,民主
2349,民主,民主
2350,自民,自民
2351,棄権,棄権
2352,棄権,DK
2353,民主,民主
2354,民主,民主
2355,共産・社民,共産・社民
2356,民主,民主
2357,公明,公明
2358,民主,民主
2359,自民,自民
2360,棄権,民主
2361,棄権,民主
2362,DK,DK
2363,公明,民主
2364,公明,公明
2365,棄権,棄権
2366,棄権,棄権
2367,自民,自民
2368,共産・社民,共産・社民
2369,その他,民主
2370,DK,民主
2371,その他,その他
2372,DK,民主
2373,その他,自民
2374,DK,民主
2375,棄権,棄権
2376,自民,民主
2377,民主,民主
2378,棄権,棄権
2379,棄権,DK
2380,棄権,棄権
2381,棄権,棄権
2382,棄権,棄権
2383,棄権,棄権
2384,公明,民主
2385,DK,棄権
2386,民主,自民
2387,棄権,民主
2388,民主,民主
2389,公明,公明
2390,棄権,棄権
2391,自民,自民
2392,DK,民主
2393,民主,民主
2394,DK,DK
2395,DK,棄権
2396,その他,自民
2397,棄権,民主
2398,共産・社民,自民
2399,民主,民主
2400,民主,民主
2401,棄権,民主
2402,民主,民主
2403,自民,民主
2404,民主,民主
2405,公明,公明
2406,その他,民主
2407,自民,自民
2408,民主,民主
2409,自民,棄権
2410,その他,その他
2411,棄権,棄権
2412,民主,民主
2413,棄権,棄権
2414,自民,自民
2415,棄権,棄権
2416,自民,その他
2417,棄権,DK
2418,その他,民主
2419,DK,DK
2420,民主,民主
2421,その他,その他
2422,自民,自民
2423,その他,自民
2424,棄権,棄権
2425,自民,民主
2426,自民,民主
2427,棄権,棄権
2428,自民,自民
2429,DK,民主
2430,棄権,棄権
2431,棄権,棄権
2432,自民,自民
2433,公明,公明
2434,その他,その他
2435,民主,民主
2436,民主,民主
2437,自民,自民
2438,その他,その他
2439,公明,公明
2440,DK,民主
2441,民主,民主
2442,民主,民主
2443,棄権,棄権
2444,棄権,棄権
2445,自民,自民
2446,その他,民主
2447,その他,その他
2448,民主,民主
2449,民主,民主
2450,民主,民主
2451,民主,民主
2452,民主,民主
2453,棄権,棄権
2454,公明,公明
2455,民主,民主
2456,DK,棄権
2457,民主,民主
2458,共産・社民,共産・社民
2459,その他,民主
2460,自民,民主
2461,棄権,棄権
2462,自民,自民
2463,その他,民主
2464,DK,民主
2465,共産・社民,共産・社民
2466,民主,共産・社民
2467,民主,棄権
2468,その他,共産・社民
2469,民主,民主
2470,公明,公明
2471,DK,DK
2472,民主,民主
2473,公明,公明
2474,棄権,棄権
2475,民主,民主
2476,その他,自民
2477,その他,民主
2478,棄権,棄権
2479,棄権,民主
2480,棄権,民主
2481,自民,民主
2482,民主,民主
2483,DK,自民
2484,民主,民主
2485,自民,自民
2486,棄権,棄権
2487,民主,自民
2488,自民,民主
2489,その他,その他
2490,その他,自民
2491,民主,民主
2492,公明,公明
2493,棄権,民主
2494,自民,自民
2495,公明,公明
2496,民主,民主
2497,自民,棄権
2498,その他,その他
2499,公明,民主
2500,DK,民主
2501,民主,民主
2502,棄権,棄権
2503,棄権,DK
2504,棄権,棄権
2505,棄権,棄権
2506,民主,棄権
2507,民主,民主
2508,民主,民主
2509,DK,共産・社民
2510,民主,民主
2511,民主,DK
2512,民主,民主
2513,その他,自民
2514,自民,自民
2515,その他,民主
2516,棄権,棄権
2517,棄権,民主
2518,DK,DK
2519,民主,民主
2520,DK,棄権
2521,棄権,自民
2522,共産・社民,共産・社民
2523,公明,公明
2524,民主,共産・社民
2525,DK,DK
2526,棄権,DK
2527,民主,その他
2528,DK,DK
2529,その他,その他
2530,民主,民主
2531,DK,DK
2532,DK,DK
2533,民主,民主
2534,その他,民主
2535,棄権,棄権
2536,棄権,民主
2537,民主,民主
2538,自民,自民
2539,自民,自民
2540,公明,公明
2541,自民,民主
2542,棄権,DK
2543,自民,自民
2544,自民,その他
2545,民主,民主
2546,DK,DK
2547,民主,民主
2548,民主,民主
2549,DK,民主
2550,自民,棄権
2551,自民,自民
2552,自民,自民
2553,棄権,棄権
2554,共産・社民,民主
2555,DK,自民
2556,公明,公明
2557,民主,民主
2558,DK,民主
2559,公明,公明
2560,民主,公明
2561,公明,公明
2562,棄権,民主
2563,棄権,棄権
2564,民主,民主
2565,民主,民主
2566,民主,民主
2567,棄権,棄権
2568,自民,民主
2569,自民,自民
2570,その他,共産・社民
2571,棄権,民主
2572,民主,自民
2573,その他,DK
2574,棄権,民主
2575,公明,公明
2576,棄権,棄権
2577,棄権,棄権
2578,DK,棄権
2579,DK,民主
2580,自民,棄権
2581,民主,民主
2582,DK,共産・社民
2583,民主,民主
2584,自民,自民
2585,民主,民主
2586,民主,民主
2587,自民,自民
2588,自民,自民
2589,DK,その他
2590,民主,民主
2591,民主,民主
2592,民主,民主
2593,民主,民主
2594,DK,DK
2595,民主,民主
2596,民主,民主
2597,DK,DK
2598,民主,民主
2599,DK,その他
2600,棄権,DK
2601,棄権,棄権
2602,その他,公明
2603,民主,民主
2604,民主,民主
2605,民主,民主
2606,棄権,棄権
2607,自民,自民
2608,DK,民主
2609,自民,民主
2610,棄権,棄権
2611,棄権,民主
2612,民主,棄権
2613,棄権,棄権
2614,棄権,共産・社民
2615,DK,DK
2616,棄権,棄権
2617,民主,棄権
2618,棄権,民主
2619,共産・社民,共産・社民
2620,DK,その他
2621,その他,民主
2622,棄権,棄権
2623,DK,DK
2624,棄権,棄権
2625,自民,民主
2626,自民,自民
2627,自民,自民
2628,民主,民主
2629,民主,DK
2630,自民,DK
2631,棄権,民主
2632,自民,自民
2633,自民,自民
2634,共産・社民,共産・社民
2635,民主,民主
2636,民主,民主
2637,民主,民主
2638,民主,民主
2639,自民,自民
2640,DK,DK
2641,自民,自民
2642,自民,その他
2643,民主,民主
2644,民主,民主
2645,DK,民主
2646,棄権,民主
2647,その他,民主
2648,民主,共産・社民
2649,民主,民主
2650,民主,民主
2651,共産・社民,共産・社民
2652,民主,民主
2653,共産・社民,共産・社民
2654,公明,公明
2655,共産・社民,民主
2656,民主,民主
2657,自民,民主
2658,その他,DK
2659,その他,その他
2660,棄権,棄権
2661,民主,民主
2662,自民,民主
2663,棄権,自民
2664,自民,公明
2665,DK,自民
2666,棄権,公明
2667,民主,民主
2668,棄権,公明
2669,棄権,棄権
2670,その他,共産・社民
2671,棄権,民主
2672,民主,民主
2673,共産・社民,共産・社民
2674,民主,民主
2675,民主,民主
2676,民主,民主
2677,民主,民主
2678,DK,その他
2679,民主,民主
2680,棄権,その他
2681,民主,民主
2682,棄権,棄権
2683,自民,自民
2684,自民,民主
2685,民主,民主
2686,棄権,民主
2687,民主,民主
2688,自民,自民
2689,共産・社民,共産・社民
2690,その他,自民
2691,自民,自民
2692,その他,その他
2693,自民,自民
2694,DK,棄権
2695,民主,民主
2696,民主,民主
2697,民主,民主
2698,共産・社民,共産・社民
2699,その他,自民
2700,民主,民主
2701,自民,自民
2702,棄権,棄権
2703,民主,民主
2704,民主,民主
2705,自民,自民
2706,DK,DK
2707,棄権,棄権
2708,棄権,棄権
2709,その他,民主
2710,自民,自民
2711,民主,民主
2712,自民,自民
2713,民主,民主
2714,民主,民主
2715,棄権,棄権
2716,DK,民主
2717,自民,自民
2718,共産・社民,民主
2719,その他,その他
2720,棄権,棄権
2721,DK,民主
2722,民主,民主
2723,民主,民主
2724,DK,DK
2725,自民,自民
2726,民主,自民
2727,棄権,棄権
2728,DK,棄権
2729,民主,民主
2730,その他,民主
2731,民主,民主
2732,棄権,民主
2733,棄権,棄権
2734,DK,棄権
2735,棄権,棄権
2736,棄権,棄権
2737,民主,民主
2738,民主,民主
2739,DK,DK
2740,自民,自民
2741,民主,民主
2742,自民,自民
2743,自民,棄権
2744,棄権,棄権
2745,棄権,棄権
2746,民主,棄権
2747,棄権,棄権
2748,民主,民主
2749,その他,民主
2750,棄権,棄権
2751,民主,共産・社民
2752,民主,棄権
2753,民主,民主
2754,自民,自民
2755,民主,民主
2756,自民,民主
2757,棄権,民主
2758,民主,民主
2759,自民,民主
2760,共産・社民,棄権
2761,民主,民主
2762,その他,その他
2763,棄権,共産・社民
2764,公明,公明
2765,民主,民主
2766,自民,DK
2767,棄権,棄権
2768,自民,自民
2769,公明,公明
2770,自民,自民
2771,DK,自民
2772,民主,自民
2773,民主,民主
2774,民主,民主
2775,自民,自民
2776,棄権,民主
2777,自民,自民
2778,その他,民主
2779,民主,民主
2780,DK,DK
2781,棄権,棄権
2782,DK,棄権
2783,民主,民主
2784,DK,DK
2785,自民,自民
2786,自民,自民
2787,自民,その他
2788,民主,民主
2789,民主,民主
2790,民主,民主
2791,DK,民主
2792,その他,民主
2793,自民,DK
2794,自民,公明
2795,公明,棄権
2796,自民,民主
2797,棄権,民主
2798,民主,民主
2799,自民,民主
2800,民主,民主
2801,共産・社民,共産・社民
2802,棄権,棄権
2803,公明,公明
2804,自民,民主
2805,民主,民主
2806,棄権,棄権
2807,DK,DK
2808,棄権,棄権
2809,公明,民主
2810,その他,民主
2811,自民,自民
2812,公明,公明
2813,棄権,棄権
2814,棄権,棄権
2815,自民,自民
2816,棄権,棄権
2817,民主,民主
2818,共産・社民,共産・社民
2819,その他,民主
2820,棄権,棄権
2821,その他,民主
2822,民主,民主
2823,棄権,棄権
2824,自民,自民
2825,その他,自民
2826,DK,棄権
2827,DK,DK
2828,棄権,棄権
2829,棄権,棄権
2830,その他,民主
2831,民主,民主
2832,民主,民主
2833,自民,棄権
2834,DK,民主
2835,自民,自民
2836,その他,棄権
2837,民主,民主
2838,自民,自民
2839,DK,DK
2840,棄権,棄権
2841,DK,民主
2842,公明,公明
2843,共産・社民,共産・社民
2844,棄権,民主
2845,棄権,棄権
2846,民主,民主
2847,共産・社民,共産・社民
2848,自民,自民
2849,公明,公明
2850,自民,民主
2851,民主,民主
2852,民主,民主
2853,公明,公明
2854,その他,DK
2855,民主,民主
2856,民主,民主
2857,棄権,棄権
2858,DK,棄権
2859,その他,民主
2860,自民,自民
2861,自民,自民
2862,棄権,DK
2863,自民,自民
2864,共産・社民,民主
2865,民主,棄権
2866,民主,民主
2867,民主,民主
2868,民主,民主
2869,DK,棄権
2870,民主,民主
2871,自民,自民
2872,DK,棄権
2873,自民,自民
2874,民主,民主
2875,棄権,棄権
2876,その他,DK
2877,民主,民主
2878,民主,民主
2879,自民,その他
2880,民主,民主
2881,民主,民主
2882,棄権,棄権
2883,公明,公明
2884,民主,民主
2885,公明,公明
2886,民主,民主
2887,民主,棄権
2888,民主,民主
2889,民主,民主
2890,DK,民主
2891,公明,公明
2892,民主,民主
2893,DK,民主
2894,DK,棄権
2895,棄権,棄権
2896,民主,民主
2897,公明,自民
2898,民主,その他
2899,自民,棄権
2900,棄権,棄権
2901,DK,公明
2902,その他,その他
2903,棄権,棄権
2904,自民,自民
2905,民主,民主
2906,その他,民主
2907,民主,民主
2908,棄権,共産・社民
2909,自民,自民
2910,民主,民主
2911,民主,民主
2912,公明,公明
2913,民主,民主
2914,棄権,棄権
2915,民主,民主
2916,民主,民主
2917,DK,自民
2918,自民,自民
2919,自民,自民
2920,共産・社民,棄権
2921,棄権,民主
2922,DK,棄権
2923,その他,DK
2924,DK,DK
2925,民主,民主
2926,民主,民主
2927,自民,自民
2928,その他,民主
2929,自民,自民
2930,その他,民主
2931,自民,自民
2932,民主,民主
2933,DK,民主
2934,民主,棄権
2935,棄権,自民
2936,DK,棄権
2937,DK,自民
2938,民主,民主
2939,民主,民主
2940,民主,その他
2941,DK,DK
2942,公明,公明
2943,その他,その他
2944,自民,民主
2945,民主,DK
2946,公明,公明
2947,棄権,棄権
2948,民主,民主
2949,その他,民主
2950,公明,公明
2951,民主,共産・社民
